"18","Mi mejor camino","Aguascalientes","Aguascalientes","Guadalupe Peralta","Adelina Hernández Reynoso No. 210","Tradicional","Español","No",1,3
"19","Primera tradición","Aguascalientes","Aguascalientes","Guadalupe Peralta Gámez","Antonio López de Sánchez No. 112","Tradicional","Español","No",1,3
"20","Los elegidos","Aguascalientes","Aguascalientes","Guadalupe Peralta Gámez","José de Jesús Aguilar No. 207","Tradicional","Español","No",1,3
"21","Mayoría de edad","Aguascalientes","Aguascalientes","Haciendas de Aguascalientes","Hacienda de Ojocaliente No. 145","Tradicional","Español","No",1,3
"22","Akron","Aguascalientes","Aguascalientes","Héroes","Vicente Suárez No. 308","Tradicional","Español","No",1,3
"23","Despertar","Aguascalientes","Aguascalientes","Jardines de la Cruz","Paseo de la Cruz No. 520","Tradicional","Español","No",1,3
"24","Juvenil","Aguascalientes","Aguascalientes","Jardines de la Cruz","Av. Adolfo López Mateos Oriente No. 1209","Tradicional","Español","No",1,3
"25","Un paso a la gloria","Aguascalientes","Aguascalientes","La Gloria","Domicilio conocido","Tradicional","Español","No",1,3
"1","Llegamos a creer","Aguascalientes","Aguascalientes","La Salud","Av. Paseo de la Cruz No. 1232 Int. 6","Tradicional","Español","No",1,4
"2","La soledad","Aguascalientes","Aguascalientes","La Soledad","Atotonilco No.201","Tradicional","Español","No",1,4
"3","Tepeyac","Aguascalientes","Aguascalientes","Las Brisas","Mar Báltico No. 210","Tradicional","Español","No",1,4
"4","Hay una esperanza","Aguascalientes","Aguascalientes","Las Cumbres","Calle Cumbres No. 319","Tradicional","Español","No",1,4
"5","Loma bonita","Aguascalientes","Aguascalientes","Loma Bonita","Articulo 3o. No. 227","Tradicional","Español","No",1,4
"6","Unidad","Aguascalientes","Aguascalientes","López Portillo","Rincón Gallardo No. 201","Tradicional","Español","No",1,4
"7","Eddie Rickenbacker","Aguascalientes","Aguascalientes","Los Arcos","Héroe de Nacozari Norte No.2353","Tradicional","Español","No",1,4
"8","Torre plaza bosques","Aguascalientes","Aguascalientes","Los Bosques","Av. Universidad No.3001 y Av. Aguascalientes","Tradicional","Español","No",1,4
"9","Mi última esperanza","Aguascalientes","Aguascalientes","Los Pericos","Av. Poliducto No.101","Tradicional","Español","No",1,4
"10","Gran cambio de vida","Aguascalientes","Aguascalientes","Martínez Domínguez","Calle Sargento Carlos Martínez No. 140-B","Tradicional","Español","No",1,4
"11","México primer paso","Aguascalientes","Aguascalientes","México","Chihuahua No. 104","Tradicional","Español","No",1,4
"12","Esperanza","Aguascalientes","Aguascalientes","Miravalle","Arroyo de los Arellano No. 236","Tradicional","Español","No",1,4
"13","8 de Agosto","Aguascalientes","Aguascalientes","Morelos II","Sixto Verduzco No. 219","Tradicional","Español","No",1,4
"14","El rescate","Aguascalientes","Aguascalientes","Nazario Ortiz Garza","General José Refugio Velasco No.808 altos","Tradicional","Español","No",1,4
"15","Nuevo comienzo","Aguascalientes","Aguascalientes","Norias de Ojo Caliente","Esmeralda No.136","Tradicional","Español","No",1,4
"16","27 de Febrero","Aguascalientes","Aguascalientes","Ojo Caliente I","Maizal esquina Espiga s/n","Tradicional","Español","No",1,4
